ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA ESPECIAL RESIDENTE,Fecha Consulta: 03/12/2024 10:22

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,CHIMBOTE,2019,10,CM190015998,EVALUACIÓN - F,25/10/2019 15:06,29/10/2019 17:32,,,,DESISTIDO
2,CUSCO,2019,8,CS190013573,EVALUACIÓN - F,01/08/2019 12:16,23/09/2019 14:29,,,,DESISTIDO
3,CUSCO,2019,8,CS190013563,EVALUACIÓN - F,01/08/2019 11:39,23/09/2019 14:22,,,,DESISTIDO
4,LIMA,2019,12,LM190393148,EVALUACIÓN - F,06/12/2019 16:06,08/09/2021 18:11,,,,DESISTIDO
5,LIMA,2019,10,LM190321164,EVALUACIÓN - F,03/10/2019 9:53,04/02/2020 20:05,,,,DESISTIDO
6,LIMA,2019,10,LM190321159,EVALUACIÓN - F,03/10/2019 9:51,04/02/2020 16:02,,,,DESISTIDO
7,LIMA,2019,9,LM190316866,EVALUACIÓN - F,30/09/2019 11:04,27/02/2020 11:16,,,,DESISTIDO
8,LIMA,2019,9,LM190310016,EVALUACIÓN - F,23/09/2019 16:39,23/09/2020 15:16,,,,DESISTIDO
9,LIMA,2019,9,LM190291250,EVALUACIÓN - F,04/09/2019 11:36,24/01/2020 11:30,,,,DESISTIDO
10,LIMA,2019,8,LM190280347,EVALUACIÓN - F,23/08/2019 10:19,03/03/2020 14:29,,,,DESISTIDO
11,LIMA,2019,4,LM190133040,EVALUACIÓN - F,29/04/2019 11:09,12/07/2019 13:09,,,,DESISTIDO
12,LIMA,2019,3,LM190099547,EVALUACIÓN - F,20/03/2019 9:54,26/12/2019 10:01,,,,DESISTIDO
13,LIMA,2019,1,LM190041953,EVALUACIÓN - F,25/01/2019 12:02,04/03/2019 12:44,,,,DESISTIDO
14,LIMA NORTE,2019,11,LO190017022,EVALUACIÓN - F,11/11/2019 16:00,22/02/2020 8:07,,,,DESISTIDO
15,LIMA NORTE,2019,11,LO190017019,EVALUACIÓN - F,11/11/2019 15:50,22/02/2020 8:14,,,,DESISTIDO
16,LIMA NORTE,2019,10,LO190016151,EVALUACIÓN - F,30/10/2019 13:13,13/03/2020 16:49,,,,DESISTIDO
17,LIMA NORTE,2019,9,LO190013144,EVALUACIÓN - F,27/09/2019 9:12,10/03/2020 5:38,,,,DESISTIDO
18,LIMA NORTE,2019,9,LO190013143,EVALUACIÓN - F,27/09/2019 9:11,10/03/2020 5:31,,,,DESISTIDO
19,LIMA NORTE,2019,8,LO190010249,EVALUACIÓN - F,21/08/2019 13:13,17/10/2019 12:19,,,,DESISTIDO
20,LIMA SUR,2019,7,LS190005782,EVALUACIÓN - F,31/07/2019 14:33,07/08/2019 15:17,,,,DESISTIDO

