ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA ESPECIAL RESIDENTE,Fecha Consulta: 05/12/2024 10:51

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2020,1,AQ200005481,EVALUACIÓN - F,28/01/2020 18:49,01/02/2020 16:04,,,,NO PRESENTADA
2,AREQUIPA,2020,1,AQ200004741,EVALUACIÓN - F,24/01/2020 18:08,31/01/2020 12:05,,,,NO PRESENTADA
3,CUSCO,2020,12,CS200009919,EVALUACIÓN - F,16/12/2020 10:53,27/01/2021 13:10,,,,NO PRESENTADA
4,CUSCO,2020,12,CS200009470,EVALUACIÓN - F,02/12/2020 15:41,10/12/2020 13:06,,,,NO PRESENTADA
5,CUSCO,2020,11,CS200009043,EVALUACIÓN - F,20/11/2020 14:47,30/11/2020 12:08,,,,NO PRESENTADA
6,CUSCO,2020,11,CS200008713,EVALUACIÓN - F,11/11/2020 13:47,30/11/2020 10:01,,,,NO PRESENTADA
7,CUSCO,2020,11,CS200008710,EVALUACIÓN - F,11/11/2020 13:34,26/11/2020 15:01,,,,NO PRESENTADA
8,CUSCO,2020,11,CS200008435,EVALUACIÓN - F,04/11/2020 8:46,16/11/2020 12:14,,,,NO PRESENTADA
9,CUSCO,2020,10,CS200008216,EVALUACIÓN - F,28/10/2020 17:28,16/11/2020 11:40,,,,NO PRESENTADA
10,CUSCO,2020,10,CS200008069,EVALUACIÓN - F,25/10/2020 11:42,05/11/2020 13:00,,,,NO PRESENTADA
11,CUSCO,2020,10,CS200007970,EVALUACIÓN - F,21/10/2020 22:36,28/10/2020 17:37,,,,NO PRESENTADA
12,CUSCO,2020,10,CS200007837,EVALUACIÓN - F,18/10/2020 22:40,23/10/2020 10:17,,,,NO PRESENTADA
13,CUSCO,2020,10,CS200007567,EVALUACIÓN - F,12/10/2020 10:20,19/10/2020 16:08,,,,NO PRESENTADA
14,CUSCO,2020,10,CS200007423,EVALUACIÓN - F,04/10/2020 12:23,15/10/2020 12:35,,,,NO PRESENTADA
15,CUSCO,2020,10,CS200007422,EVALUACIÓN - F,04/10/2020 12:07,15/10/2020 12:27,,,,NO PRESENTADA
16,CUSCO,2020,9,CS200007335,EVALUACIÓN - F,30/09/2020 17:45,06/10/2020 10:28,,,,NO PRESENTADA
17,CUSCO,2020,9,CS200007327,EVALUACIÓN - F,29/09/2020 12:34,16/10/2020 16:37,,,,NO PRESENTADA
18,CUSCO,2020,9,CS200007313,EVALUACIÓN - F,25/09/2020 19:51,30/09/2020 12:43,,,,NO PRESENTADA
19,CUSCO,2020,9,CS200007304,EVALUACIÓN - F,23/09/2020 15:08,29/09/2020 10:52,,,,NO PRESENTADA
20,CUSCO,2020,9,CS200007302,EVALUACIÓN - F,23/09/2020 13:04,29/09/2020 10:36,,,,NO PRESENTADA
21,CUSCO,2020,9,CS200007295,EVALUACIÓN - F,22/09/2020 16:44,27/09/2020 18:23,,,,NO PRESENTADA
22,CUSCO,2020,9,CS200007250,EVALUACIÓN - F,09/09/2020 18:26,23/09/2020 11:11,,,,NO PRESENTADA
23,LIMA,2020,1,LM200026498,EVALUACIÓN - F,20/01/2020 17:56,29/01/2020 17:31,,,,NO PRESENTADA
24,LIMA,2020,1,LM200023847,EVALUACIÓN - F,17/01/2020 16:15,05/02/2020 17:58,,,,NO PRESENTADA
25,LIMA,2020,1,LM200023623,EVALUACIÓN - F,17/01/2020 15:17,28/01/2020 18:22,,,,NO PRESENTADA
26,LIMA,2020,1,LM200022936,EVALUACIÓN - F,17/01/2020 11:47,12/03/2020 16:59,,,,NO PRESENTADA
27,LIMA,2020,1,LM200021914,EVALUACIÓN - F,16/01/2020 16:15,21/01/2020 17:28,,,,NO PRESENTADA
28,LIMA,2020,1,LM200021766,EVALUACIÓN - F,16/01/2020 15:39,24/01/2020 18:16,,,,NO PRESENTADA
29,LIMA,2020,1,LM200021091,EVALUACIÓN - F,16/01/2020 12:30,21/01/2020 18:15,,,,NO PRESENTADA
30,LIMA,2020,1,LM200020548,EVALUACIÓN - F,16/01/2020 10:18,21/01/2020 17:31,,,,NO PRESENTADA
31,LIMA,2020,1,LM200019597,EVALUACIÓN - F,15/01/2020 15:08,24/01/2020 18:18,,,,NO PRESENTADA
