ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 04/12/2024 17:27

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2019,10,AQ190044535,EVALUACIÓN - F,28/10/2019 9:52,15/11/2019 9:26,,,,DESISTIDO
2,AREQUIPA,2019,10,AQ190042612,EVALUACIÓN - F,14/10/2019 15:14,26/11/2019 9:48,,,,DESISTIDO
3,AREQUIPA,2019,7,AQ190028179,EVALUACIÓN - F,12/07/2019 11:20,19/08/2019 16:08,,,,DESISTIDO
4,AREQUIPA,2019,7,AQ190028051,EVALUACIÓN - F,11/07/2019 14:00,23/10/2019 17:04,,,,DESISTIDO
5,AREQUIPA,2019,5,AQ190019793,EVALUACIÓN - F,14/05/2019 11:55,31/05/2019 16:11,,,,DESISTIDO
6,AREQUIPA,2019,4,AQ190016968,EVALUACIÓN - F,22/04/2019 16:05,30/05/2019 16:45,,,,DESISTIDO
7,AREQUIPA,2019,4,AQ190016967,EVALUACIÓN - F,22/04/2019 16:02,30/05/2019 16:41,,,,DESISTIDO
8,AREQUIPA,2019,4,AQ190016965,EVALUACIÓN - F,22/04/2019 15:53,30/05/2019 16:48,,,,DESISTIDO
9,AREQUIPA,2019,3,AQ190011623,EVALUACIÓN - F,11/03/2019 12:04,30/05/2019 13:45,,,,DESISTIDO
10,AREQUIPA,2019,2,AQ190008487,EVALUACIÓN - F,14/02/2019 11:16,30/05/2019 13:22,,,,DESISTIDO
11,AREQUIPA,2019,2,AQ190006942,EVALUACIÓN - F,04/02/2019 12:19,28/02/2019 10:01,,,,DESISTIDO
12,CHICLAYO,2019,12,CY190027926,EVALUACIÓN - F,09/12/2019 15:11,19/11/2020 16:40,,,,DESISTIDO
13,CHICLAYO,2019,9,CY190020013,EVALUACIÓN - F,02/09/2019 15:27,25/10/2019 12:57,,,,DESISTIDO
14,CHICLAYO,2019,2,CY190006230,EVALUACIÓN - F,26/02/2019 9:50,16/04/2019 15:26,,,,DESISTIDO
15,CHIMBOTE,2019,10,CM190015998,EVALUACIÓN - F,25/10/2019 15:06,29/10/2019 17:32,,,,DESISTIDO
16,CHIMBOTE,2019,4,CM190006588,EVALUACIÓN - F,24/04/2019 9:17,27/06/2019 11:19,,,,DESISTIDO
17,CHIMBOTE,2019,2,CM190004051,EVALUACIÓN - F,27/02/2019 10:53,13/05/2019 16:19,,,,DESISTIDO
18,CUSCO,2019,11,CS190020217,EVALUACIÓN - F,13/11/2019 10:01,17/12/2019 10:31,,,,DESISTIDO
19,CUSCO,2019,9,CS190016303,EVALUACIÓN - F,11/09/2019 15:58,24/10/2019 11:01,,,,DESISTIDO
20,CUSCO,2019,8,CS190015443,EVALUACIÓN - F,28/08/2019 14:58,23/09/2019 14:38,,,,DESISTIDO
21,CUSCO,2019,8,CS190013573,EVALUACIÓN - F,01/08/2019 12:16,23/09/2019 14:29,,,,DESISTIDO
22,CUSCO,2019,8,CS190013563,EVALUACIÓN - F,01/08/2019 11:39,23/09/2019 14:22,,,,DESISTIDO
23,CUSCO,2019,6,CS190011310,EVALUACIÓN - F,25/06/2019 13:20,18/07/2019 9:07,,,,DESISTIDO
24,CUSCO,2019,4,CS190007764,EVALUACIÓN - F,16/04/2019 17:06,15/05/2019 11:46,,,,DESISTIDO
25,ILO,2019,8,IL190002809,EVALUACIÓN - F,27/08/2019 11:13,05/03/2020 16:03,,,,DESISTIDO
26,IQUITOS,2019,9,IU190005713,EVALUACIÓN - F,12/09/2019 10:33,29/10/2019 15:38,,,,DESISTIDO
27,IQUITOS,2019,8,IU190005089,EVALUACIÓN - F,13/08/2019 9:19,13/09/2019 16:14,,,,DESISTIDO
28,IQUITOS,2019,7,IU190004673,EVALUACIÓN - F,26/07/2019 8:14,06/09/2019 12:26,,,,DESISTIDO
29,IQUITOS,2019,7,IU190004553,EVALUACIÓN - F,22/07/2019 9:57,29/10/2019 15:33,,,,DESISTIDO
30,IQUITOS,2019,3,IU190001553,EVALUACIÓN - F,04/03/2019 14:27,05/06/2019 16:33,,,,DESISTIDO
31,IQUITOS,2019,3,IU190001551,EVALUACIÓN - F,04/03/2019 13:38,05/06/2019 16:06,,,,DESISTIDO
32,IQUITOS,2019,1,IU190000765,EVALUACIÓN - F,28/01/2019 12:35,06/05/2019 18:28,,,,DESISTIDO
33,LIMA,2019,12,LM190418907,EVALUACIÓN - F,31/12/2019 10:41,01/07/2020 21:14,,,,DESISTIDO
34,LIMA,2019,12,LM190393148,EVALUACIÓN - F,06/12/2019 16:06,08/09/2021 18:11,,,,DESISTIDO
35,LIMA,2019,12,LM190390438,EVALUACIÓN - F,05/12/2019 8:54,22/01/2021 16:01,,,,DESISTIDO
36,LIMA,2019,12,LM190387429,EVALUACIÓN - F,03/12/2019 9:36,21/03/2023 13:30,,,,DESISTIDO
37,LIMA,2019,11,LM190383044,EVALUACIÓN - F,28/11/2019 16:19,18/02/2020 13:01,,,,DESISTIDO
38,LIMA,2019,11,LM190381987,EVALUACIÓN - F,28/11/2019 10:49,07/09/2020 14:14,,,,DESISTIDO
39,LIMA,2019,11,LM190378344,EVALUACIÓN - F,26/11/2019 11:05,30/08/2020 14:59,,,,DESISTIDO
40,LIMA,2019,11,LM190374702,EVALUACIÓN - F,22/11/2019 14:08,06/08/2021 13:07,,,,DESISTIDO
41,LIMA,2019,11,LM190374120,EVALUACIÓN - F,22/11/2019 10:55,23/08/2023 11:01,,,,DESISTIDO
42,LIMA,2019,11,LM190360239,EVALUACIÓN - F,12/11/2019 12:42,05/03/2020 11:56,,,,DESISTIDO
43,LIMA,2019,11,LM190352020,EVALUACIÓN - F,05/11/2019 14:12,23/01/2020 14:55,,,,DESISTIDO
44,LIMA,2019,11,LM190351973,EVALUACIÓN - F,05/11/2019 13:58,23/01/2020 14:50,,,,DESISTIDO
45,LIMA,2019,10,LM190338811,EVALUACIÓN - F,23/10/2019 9:59,04/03/2020 6:58,,,,DESISTIDO
46,LIMA,2019,10,LM190338286,EVALUACIÓN - F,22/10/2019 14:55,16/12/2019 14:38,,,,DESISTIDO
47,LIMA,2019,10,LM190336903,EVALUACIÓN - F,21/10/2019 15:29,13/03/2020 9:12,,,,DESISTIDO
48,LIMA,2019,10,LM190329711,EVALUACIÓN - F,14/10/2019 10:23,08/10/2020 14:20,,,,DESISTIDO
49,LIMA,2019,10,LM190323409,EVALUACIÓN - F,04/10/2019 14:54,15/01/2020 12:25,,,,DESISTIDO
50,LIMA,2019,10,LM190321164,EVALUACIÓN - F,03/10/2019 9:53,04/02/2020 20:05,,,,DESISTIDO
51,LIMA,2019,10,LM190321159,EVALUACIÓN - F,03/10/2019 9:51,04/02/2020 16:02,,,,DESISTIDO
