ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 09/12/2024 18:51

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2020,1,AQ200005481,EVALUACIÓN - F,28/01/2020 18:49,01/02/2020 16:04,,,,NO PRESENTADA
2,AREQUIPA,2020,1,AQ200004741,EVALUACIÓN - F,24/01/2020 18:08,31/01/2020 12:05,,,,NO PRESENTADA
3,CHIMBOTE,2020,2,CM200004370,EVALUACIÓN - F,25/02/2020 15:50,09/04/2020 16:21,,,,NO PRESENTADA
4,CUSCO,2020,12,CS200010005,EVALUACIÓN - F,17/12/2020 16:29,23/12/2020 11:01,,,,NO PRESENTADA
5,CUSCO,2020,12,CS200009953,EVALUACIÓN - F,16/12/2020 16:35,30/12/2020 10:16,,,,NO PRESENTADA
6,CUSCO,2020,12,CS200009919,EVALUACIÓN - F,16/12/2020 10:53,27/01/2021 13:10,,,,NO PRESENTADA
7,CUSCO,2020,12,CS200009470,EVALUACIÓN - F,02/12/2020 15:41,10/12/2020 13:06,,,,NO PRESENTADA
8,CUSCO,2020,12,CS200009422,EVALUACIÓN - F,01/12/2020 14:22,10/12/2020 12:45,,,,NO PRESENTADA
9,CUSCO,2020,11,CS200009043,EVALUACIÓN - F,20/11/2020 14:47,30/11/2020 12:08,,,,NO PRESENTADA
10,CUSCO,2020,11,CS200008713,EVALUACIÓN - F,11/11/2020 13:47,30/11/2020 10:01,,,,NO PRESENTADA
11,CUSCO,2020,11,CS200008710,EVALUACIÓN - F,11/11/2020 13:34,26/11/2020 15:01,,,,NO PRESENTADA
12,CUSCO,2020,11,CS200008435,EVALUACIÓN - F,04/11/2020 8:46,16/11/2020 12:14,,,,NO PRESENTADA
13,CUSCO,2020,10,CS200008216,EVALUACIÓN - F,28/10/2020 17:28,16/11/2020 11:40,,,,NO PRESENTADA
14,CUSCO,2020,10,CS200008069,EVALUACIÓN - F,25/10/2020 11:42,05/11/2020 13:00,,,,NO PRESENTADA
15,CUSCO,2020,10,CS200008066,EVALUACIÓN - F,24/10/2020 13:40,02/11/2020 15:04,,,,NO PRESENTADA
16,CUSCO,2020,10,CS200008051,EVALUACIÓN - F,23/10/2020 17:00,02/11/2020 14:54,,,,NO PRESENTADA
17,CUSCO,2020,10,CS200008001,EVALUACIÓN - F,22/10/2020 21:16,30/10/2020 15:39,,,,NO PRESENTADA
18,CUSCO,2020,10,CS200007996,EVALUACIÓN - F,22/10/2020 17:55,30/10/2020 15:29,,,,NO PRESENTADA
19,CUSCO,2020,10,CS200007970,EVALUACIÓN - F,21/10/2020 22:36,28/10/2020 17:37,,,,NO PRESENTADA
20,CUSCO,2020,10,CS200007889,EVALUACIÓN - F,20/10/2020 9:13,23/10/2020 12:05,,,,NO PRESENTADA
21,CUSCO,2020,10,CS200007852,EVALUACIÓN - F,19/10/2020 12:07,23/10/2020 10:47,,,,NO PRESENTADA
22,CUSCO,2020,10,CS200007837,EVALUACIÓN - F,18/10/2020 22:40,23/10/2020 10:17,,,,NO PRESENTADA
23,CUSCO,2020,10,CS200007567,EVALUACIÓN - F,12/10/2020 10:20,19/10/2020 16:08,,,,NO PRESENTADA
24,CUSCO,2020,10,CS200007423,EVALUACIÓN - F,04/10/2020 12:23,15/10/2020 12:35,,,,NO PRESENTADA
25,CUSCO,2020,10,CS200007422,EVALUACIÓN - F,04/10/2020 12:07,15/10/2020 12:27,,,,NO PRESENTADA
26,CUSCO,2020,10,CS200007366,EVALUACIÓN - F,01/10/2020 18:41,07/10/2020 10:09,,,,NO PRESENTADA
27,CUSCO,2020,9,CS200007335,EVALUACIÓN - F,30/09/2020 17:45,06/10/2020 10:28,,,,NO PRESENTADA
28,CUSCO,2020,9,CS200007327,EVALUACIÓN - F,29/09/2020 12:34,16/10/2020 16:37,,,,NO PRESENTADA
29,CUSCO,2020,9,CS200007313,EVALUACIÓN - F,25/09/2020 19:51,30/09/2020 12:43,,,,NO PRESENTADA
30,CUSCO,2020,9,CS200007309,EVALUACIÓN - F,24/09/2020 8:32,29/09/2020 10:58,,,,NO PRESENTADA
31,CUSCO,2020,9,CS200007305,EVALUACIÓN - F,23/09/2020 15:41,29/09/2020 19:35,,,,NO PRESENTADA
