ReportTitle,Textbox2
REPORTE TRAMITE - PRORROGA DE RESIDENCIA,Fecha Consulta: 03/12/2024 10:18

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,A.I.J.CH.,2018,12,AI180030620,"PAGOS, FECHA Y NRO RD. - F",31/12/2018 20:17,08/01/2019 13:26,,,,APROBADO
2,A.I.J.CH.,2018,12,AI180030559,"PAGOS, FECHA Y NRO RD. - F",31/12/2018 2:00,26/02/2019 12:26,,,,APROBADO
3,A.I.J.CH.,2018,12,AI180030558,"PAGOS, FECHA Y NRO RD. - F",31/12/2018 1:59,26/02/2019 12:18,,,,APROBADO
4,A.I.J.CH.,2018,12,AI180030502,"PAGOS, FECHA Y NRO RD. - F",30/12/2018 11:04,11/02/2019 12:23,,,,APROBADO
5,A.I.J.CH.,2018,12,AI180030497,"PAGOS, FECHA Y NRO RD. - F",30/12/2018 10:34,08/01/2019 13:14,,,,APROBADO
6,A.I.J.CH.,2018,12,AI180030494,"PAGOS, FECHA Y NRO RD. - F",30/12/2018 10:31,08/01/2019 13:17,,,,APROBADO
7,A.I.J.CH.,2018,12,AI180030267,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 16:57,12/03/2019 9:54,,,,APROBADO
8,A.I.J.CH.,2018,12,AI180030254,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 11:16,27/03/2019 11:35,,,,APROBADO
9,A.I.J.CH.,2018,12,AI180030227,"PAGOS, FECHA Y NRO RD. - F",28/12/2018 5:57,08/01/2019 13:14,,,,APROBADO
10,A.I.J.CH.,2018,12,AI180030197,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 21:16,17/01/2019 11:12,,,,APROBADO
11,A.I.J.CH.,2018,12,AI180030179,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 19:28,08/01/2019 13:18,,,,APROBADO
12,A.I.J.CH.,2018,12,AI180030094,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 5:04,04/01/2019 11:03,,,,APROBADO
13,A.I.J.CH.,2018,12,AI180030092,"PAGOS, FECHA Y NRO RD. - F",27/12/2018 5:02,08/01/2019 13:14,,,,APROBADO
14,A.I.J.CH.,2018,12,AI180029956,"PAGOS, FECHA Y NRO RD. - F",25/12/2018 23:26,22/01/2019 17:57,,,,APROBADO
15,A.I.J.CH.,2018,12,AI180029922,"PAGOS, FECHA Y NRO RD. - F",25/12/2018 18:53,15/01/2019 19:22,,,,APROBADO
16,A.I.J.CH.,2018,12,AI180029885,"PAGOS, FECHA Y NRO RD. - F",25/12/2018 8:26,15/01/2019 19:04,,,,APROBADO
17,A.I.J.CH.,2018,12,AI180029838,"PAGOS, FECHA Y NRO RD. - F",24/12/2018 22:36,15/01/2019 19:08,,,,APROBADO
18,A.I.J.CH.,2018,12,AI180029740,"PAGOS, FECHA Y NRO RD. - F",23/12/2018 22:52,15/01/2019 14:37,,,,APROBADO
19,A.I.J.CH.,2018,12,AI180029731,"PAGOS, FECHA Y NRO RD. - F",23/12/2018 20:12,15/01/2019 19:10,,,,APROBADO
20,A.I.J.CH.,2018,12,AI180029695,"PAGOS, FECHA Y NRO RD. - F",23/12/2018 10:35,08/03/2019 12:59,,,,APROBADO
21,A.I.J.CH.,2018,12,AI180029690,"PAGOS, FECHA Y NRO RD. - F",23/12/2018 9:53,16/01/2019 11:02,,,,APROBADO
22,A.I.J.CH.,2018,12,AI180029643,"PAGOS, FECHA Y NRO RD. - F",22/12/2018 22:35,22/01/2019 17:56,,,,APROBADO
23,A.I.J.CH.,2018,12,AI180029628,"PAGOS, FECHA Y NRO RD. - F",22/12/2018 19:21,22/01/2019 17:58,,,,APROBADO
24,A.I.J.CH.,2018,12,AI180029606,"PAGOS, FECHA Y NRO RD. - F",22/12/2018 12:24,14/03/2019 16:14,,,,APROBADO
25,A.I.J.CH.,2018,12,AI180029582,"PAGOS, FECHA Y NRO RD. - F",22/12/2018 8:13,15/01/2019 19:07,,,,APROBADO
26,A.I.J.CH.,2018,12,AI180029548,"PAGOS, FECHA Y NRO RD. - F",22/12/2018 1:06,16/01/2019 9:13,,,,APROBADO
27,A.I.J.CH.,2018,12,AI180029538,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 23:26,16/01/2019 11:19,,,,APROBADO
28,A.I.J.CH.,2018,12,AI180029533,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 22:31,24/01/2019 10:40,,,,APROBADO
29,A.I.J.CH.,2018,12,AI180029531,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 21:09,08/01/2019 13:30,,,,APROBADO
30,A.I.J.CH.,2018,12,AI180029516,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 20:10,16/01/2019 9:29,,,,APROBADO
31,A.I.J.CH.,2018,12,AI180029496,"PAGOS, FECHA Y NRO RD. - F",21/12/2018 16:19,16/01/2019 8:36,,,,APROBADO
