ReportTitle,Textbox2
REPORTE TRAMITE - PRORROGA DE RESIDENCIA,Fecha Consulta: 25/11/2024 10:07

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,A.I.J.CH.,2019,12,AI190038235,ASOCIACION BENEFICIARIO - I,11/12/2019 9:28,,,,,DESISTIDO
2,A.I.J.CH.,2019,11,AI190031210,ACTUALIZAR DATOS BENEFICIARIO - F,07/11/2019 23:51,,,,,DESISTIDO
3,A.I.J.CH.,2019,10,AI190023827,ASOCIACION BENEFICIARIO - I,08/10/2019 20:37,,,,,DESISTIDO
4,A.I.J.CH.,2019,10,AI190023692,ASOCIACION BENEFICIARIO - I,07/10/2019 19:18,,,,,DESISTIDO
5,A.I.J.CH.,2019,9,AI190021004,ACTUALIZAR DATOS BENEFICIARIO - F,03/09/2019 23:41,,,,,DESISTIDO
6,A.I.J.CH.,2019,8,AI190019978,ASOCIACION BENEFICIARIO - I,21/08/2019 14:47,,,,,DESISTIDO
7,A.I.J.CH.,2019,8,AI190019200,ASOCIACION BENEFICIARIO - I,11/08/2019 18:46,,,,,DESISTIDO
8,A.I.J.CH.,2019,8,AI190018457,ASOCIACION BENEFICIARIO - I,04/08/2019 9:57,,,,,DESISTIDO
9,A.I.J.CH.,2019,7,AI190017812,"PAGOS, FECHA Y NRO RD. - F",29/07/2019 10:43,22/07/2020 16:44,,,,DESISTIDO
10,A.I.J.CH.,2019,7,AI190017717,ASOCIACION BENEFICIARIO - I,28/07/2019 15:53,,,,,DESISTIDO
11,A.I.J.CH.,2019,7,AI190017663,ASOCIACION BENEFICIARIO - I,28/07/2019 3:48,,,,,DESISTIDO
12,A.I.J.CH.,2019,7,AI190017100,ASOCIACION BENEFICIARIO - I,23/07/2019 7:48,,,,,DESISTIDO
13,A.I.J.CH.,2019,7,AI190016040,ASOCIACION BENEFICIARIO - I,09/07/2019 19:04,,,,,DESISTIDO
14,A.I.J.CH.,2019,6,AI190015241,ASOCIACION BENEFICIARIO - I,28/06/2019 0:02,,,,,DESISTIDO
15,A.I.J.CH.,2019,6,AI190014950,ASOCIACION BENEFICIARIO - I,24/06/2019 15:43,,,,,DESISTIDO
16,A.I.J.CH.,2019,6,AI190014811,ASOCIACION BENEFICIARIO - I,22/06/2019 17:56,,,,,DESISTIDO
17,A.I.J.CH.,2019,6,AI190014579,ACTUALIZAR DATOS BENEFICIARIO - I,20/06/2019 9:15,,,,,DESISTIDO
18,A.I.J.CH.,2019,6,AI190014387,ASOCIACION BENEFICIARIO - I,18/06/2019 17:37,,,,,DESISTIDO
19,A.I.J.CH.,2019,6,AI190014138,ASOCIACION BENEFICIARIO - I,15/06/2019 9:56,,,,,DESISTIDO
20,A.I.J.CH.,2019,6,AI190014050,ASOCIACION BENEFICIARIO - I,14/06/2019 5:44,,,,,DESISTIDO
21,A.I.J.CH.,2019,5,AI190012836,ASOCIACION BENEFICIARIO - I,29/05/2019 14:12,,,,,DESISTIDO
