ReportTitle,Textbox2
REPORTE TRAMITE - PRORROGA DE RESIDENCIA,Fecha Consulta: 04/12/2024 17:34

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,LIMA,2019,4,LM190125720,CONFORMIDAD SUB-DIREC.INMGRA. - I,17/04/2019 12:30,,,,,PENDIENTE
2,LIMA,2019,3,LM190106393,CONFORMIDAD SUB-DIREC.INMGRA. - I,27/03/2019 14:38,,,,,PENDIENTE
3,LIMA,2019,3,LM190098780,CONFORMIDAD SUB-DIREC.INMGRA. - I,19/03/2019 11:59,,,,,PENDIENTE
4,LIMA,2019,3,LM190087913,ACTUALIZAR DATOS BENEFICIARIO - F,06/03/2019 15:05,,,,,PENDIENTE
5,LIMA,2019,3,LM190087150,CONFORMIDAD SUB-DIREC.INMGRA. - I,06/03/2019 9:48,,,,,PENDIENTE
6,LIMA,2019,2,LM190053617,CONFORMIDAD SUB-DIREC.INMGRA. - I,04/02/2019 12:33,,,,,PENDIENTE
7,MIRAFLORES,2019,10,MR190207961,CONFORMIDAD SUB-DIREC.INMGRA. - I,29/10/2019 17:04,,,,,PENDIENTE
8,MIRAFLORES,2019,5,MR190089892,CONFORMIDAD SUB-DIREC.INMGRA. - I,17/05/2019 13:26,,,,,PENDIENTE
9,MIRAFLORES,2019,5,MR190082927,CONFORMIDAD SUB-DIREC.INMGRA. - I,08/05/2019 18:39,,,,,PENDIENTE
10,MIRAFLORES,2019,4,MR190071400,CONFORMIDAD SUB-DIREC.INMGRA. - I,22/04/2019 14:45,,,,,PENDIENTE
11,MIRAFLORES,2019,3,MR190056247,CONFORMIDAD SUB-DIREC.INMGRA. - I,29/03/2019 16:55,,,,,PENDIENTE

