ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 09/12/2024 19:06

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2018,10,AQ180040223,"PAGOS, FECHA Y NRO RD. - F",18/10/2018 12:00,18/12/2018 16:39,,,,APROBADO
2,AREQUIPA,2018,10,AQ180039632,"PAGOS, FECHA Y NRO RD. - F",15/10/2018 11:34,12/12/2018 15:45,,,,APROBADO
3,AREQUIPA,2018,6,AQ180023959,"PAGOS, FECHA Y NRO RD. - F",25/06/2018 12:51,17/10/2018 15:47,,,,APROBADO
4,AREQUIPA,2018,6,AQ180023956,"PAGOS, FECHA Y NRO RD. - F",25/06/2018 12:46,17/10/2018 15:38,,,,APROBADO
5,AREQUIPA,2018,6,AQ180023954,"PAGOS, FECHA Y NRO RD. - F",25/06/2018 12:40,17/10/2018 15:44,,,,APROBADO
6,AREQUIPA,2018,4,AQ180015968,"PAGOS, FECHA Y NRO RD. - F",27/04/2018 9:48,07/06/2018 9:04,,,,APROBADO
7,CHICLAYO,2018,11,CY180023762,"PAGOS, FECHA Y NRO RD. - F",15/11/2018 14:30,20/12/2018 13:14,,,,APROBADO
8,CHICLAYO,2018,6,CY180012009,"PAGOS, FECHA Y NRO RD. - F",11/06/2018 15:09,03/07/2018 9:50,,,,APROBADO
9,CHICLAYO,2018,6,CY180012005,"PAGOS, FECHA Y NRO RD. - F",11/06/2018 14:53,22/06/2018 10:17,,,,APROBADO
10,CHICLAYO,2018,3,CY180004417,"PAGOS, FECHA Y NRO RD. - F",02/03/2018 9:48,12/03/2018 10:47,,,,APROBADO
11,CHIMBOTE,2018,1,CM180000990,"PAGOS, FECHA Y NRO RD. - F",19/01/2018 10:32,15/02/2018 17:11,,,,APROBADO
12,CUSCO,2018,12,CS180022002,"PAGOS, FECHA Y NRO RD. - F",07/12/2018 11:01,18/01/2019 16:23,,,,APROBADO
13,CUSCO,2018,12,CS180021730,"PAGOS, FECHA Y NRO RD. - F",04/12/2018 13:52,26/12/2018 17:06,,,,APROBADO
14,CUSCO,2018,8,CS180013771,"PAGOS, FECHA Y NRO RD. - F",16/08/2018 12:23,15/10/2018 15:34,,,,APROBADO
15,CUSCO,2018,7,CS180012192,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 13:43,25/07/2018 14:55,,,,APROBADO
16,CUSCO,2018,7,CS180012190,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 13:38,25/07/2018 12:59,,,,APROBADO
17,CUSCO,2018,7,CS180012187,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 13:33,25/07/2018 12:50,,,,APROBADO
18,CUSCO,2018,7,CS180012185,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 13:26,25/07/2018 12:41,,,,APROBADO
19,CUSCO,2018,7,CS180012183,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 13:16,25/07/2018 12:29,,,,APROBADO
20,CUSCO,2018,7,CS180012180,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 13:03,25/07/2018 12:21,,,,APROBADO
21,CUSCO,2018,7,CS180012178,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 12:54,25/07/2018 12:10,,,,APROBADO
22,CUSCO,2018,7,CS180012175,"PAGOS, FECHA Y NRO RD. - F",20/07/2018 12:41,25/07/2018 11:58,,,,APROBADO
23,CUSCO,2018,5,CS180009015,"PAGOS, FECHA Y NRO RD. - F",23/05/2018 15:31,11/07/2018 15:23,,,,APROBADO
24,CUSCO,2018,4,CS180006368,"PAGOS, FECHA Y NRO RD. - F",04/04/2018 10:51,22/05/2018 11:21,,,,APROBADO
25,CUSCO,2018,1,CS180001112,"PAGOS, FECHA Y NRO RD. - F",15/01/2018 14:56,13/02/2018 8:37,,,,APROBADO
26,ILO,2018,8,IL180002523,"PAGOS, FECHA Y NRO RD. - F",07/08/2018 15:34,21/08/2018 17:12,,,,APROBADO
27,ILO,2018,4,IL180001186,"PAGOS, FECHA Y NRO RD. - F",13/04/2018 12:18,20/04/2018 12:04,,,,APROBADO
28,ILO,2018,2,IL180000717,"PAGOS, FECHA Y NRO RD. - F",23/02/2018 17:49,01/03/2018 19:34,,,,APROBADO
29,ILO,2018,1,IL180000376,"PAGOS, FECHA Y NRO RD. - F",26/01/2018 11:23,05/02/2018 11:16,,,,APROBADO
30,IQUITOS,2018,10,IU180006589,"PAGOS, FECHA Y NRO RD. - F",29/10/2018 12:43,26/11/2018 14:41,,,,APROBADO
31,IQUITOS,2018,8,IU180004976,"PAGOS, FECHA Y NRO RD. - F",15/08/2018 8:59,12/09/2018 10:22,,,,APROBADO
32,IQUITOS,2018,8,IU180004639,"PAGOS, FECHA Y NRO RD. - F",01/08/2018 9:37,13/08/2018 12:17,,,,APROBADO
33,IQUITOS,2018,7,IU180004263,"PAGOS, FECHA Y NRO RD. - F",16/07/2018 15:30,03/08/2018 18:21,,,,APROBADO
34,IQUITOS,2018,3,IU180001816,"PAGOS, FECHA Y NRO RD. - F",20/03/2018 11:58,06/04/2018 11:11,,,,APROBADO
35,IQUITOS,2018,3,IU180001815,"PAGOS, FECHA Y NRO RD. - F",20/03/2018 11:52,06/04/2018 15:33,,,,APROBADO
36,IQUITOS,2018,3,IU180001813,"PAGOS, FECHA Y NRO RD. - F",20/03/2018 11:46,06/04/2018 10:29,,,,APROBADO
37,IQUITOS,2018,3,IU180001812,"PAGOS, FECHA Y NRO RD. - F",20/03/2018 11:40,06/04/2018 14:32,,,,APROBADO
38,IQUITOS,2018,3,IU180001811,"PAGOS, FECHA Y NRO RD. - F",20/03/2018 11:33,06/04/2018 10:01,,,,APROBADO
