ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 05/12/2024 10:54

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2018,5,AQ180016973,ASOCIACION BENEFICIARIO - I,04/05/2018 15:41,,,,,DENEGADO
2,CHICLAYO,2018,4,CY180007720,CONFORMIDAD DIREC.INMGRACION. - I,18/04/2018 10:52,28/06/2018 16:52,,,,DENEGADO
3,LIMA,2018,12,LM180677030,CONFORMIDAD DIREC.INMGRACION. - I,26/12/2018 16:30,21/03/2019 13:12,,,,DENEGADO
4,LIMA,2018,12,LM180656979,CONFORMIDAD DIREC.INMGRACION. - I,17/12/2018 12:17,05/06/2019 13:59,,,,DENEGADO
5,LIMA,2018,12,LM180656650,CONFORMIDAD DIREC.INMGRACION. - I,17/12/2018 10:54,17/05/2019 11:40,,,,DENEGADO
6,LIMA,2018,12,LM180651326,CONFORMIDAD DIREC.INMGRACION. - I,14/12/2018 7:21,10/06/2019 15:38,,,,DENEGADO
7,LIMA,2018,12,LM180651324,CONFORMIDAD DIREC.INMGRACION. - I,14/12/2018 7:19,10/06/2019 15:37,,,,DENEGADO
8,LIMA,2018,12,LM180647085,CONFORMIDAD DIREC.INMGRACION. - I,12/12/2018 13:53,04/03/2019 11:10,,,,DENEGADO
9,LIMA,2018,12,LM180644221,CONFORMIDAD DIREC.INMGRACION. - I,11/12/2018 14:03,17/05/2019 11:43,,,,DENEGADO
10,LIMA,2018,12,LM180641252,CONFORMIDAD DIREC.INMGRACION. - I,10/12/2018 13:47,14/01/2019 17:09,,,,DENEGADO
11,LIMA,2018,12,LM180631373,CONFORMIDAD DIREC.INMGRACION. - I,04/12/2018 20:05,04/04/2019 14:52,,,,DENEGADO
12,LIMA,2018,12,LM180631206,CONFORMIDAD DIREC.INMGRACION. - I,04/12/2018 18:11,17/05/2019 11:42,,,,DENEGADO
13,LIMA,2018,12,LM180627117,CONFORMIDAD DIREC.INMGRACION. - I,03/12/2018 10:41,30/01/2019 21:27,,,,DENEGADO
14,LIMA,2018,11,LM180621765,CONFORMIDAD DIREC.INMGRACION. - I,30/11/2018 10:23,04/03/2019 10:16,,,,DENEGADO
15,LIMA,2018,11,LM180615931,CONFORMIDAD DIREC.INMGRACION. - I,28/11/2018 10:50,10/01/2019 10:50,,,,DENEGADO
16,LIMA,2018,11,LM180613878,CONFORMIDAD DIREC.INMGRACION. - I,27/11/2018 14:19,19/07/2019 18:23,,,,DENEGADO
17,LIMA,2018,11,LM180613270,CONFORMIDAD DIREC.INMGRACION. - I,27/11/2018 12:02,06/08/2019 13:05,,,,DENEGADO
18,LIMA,2018,11,LM180612561,CONFORMIDAD DIREC.INMGRACION. - I,27/11/2018 9:29,19/06/2019 12:39,,,,DENEGADO
19,LIMA,2018,11,LM180609921,CONFORMIDAD DIREC.INMGRACION. - I,26/11/2018 11:29,15/02/2019 13:50,,,,DENEGADO
20,LIMA,2018,11,LM180609333,CONFORMIDAD DIREC.INMGRACION. - I,26/11/2018 9:10,15/05/2019 18:08,,,,DENEGADO
21,LIMA,2018,11,LM180609321,CONFORMIDAD DIREC.INMGRACION. - I,26/11/2018 9:07,22/02/2019 8:49,,,,DENEGADO
22,LIMA,2018,11,LM180600004,CONFORMIDAD DIREC.INMGRACION. - I,21/11/2018 14:01,15/01/2019 17:26,,,,DENEGADO
23,LIMA,2018,11,LM180592445,CONFORMIDAD DIREC.INMGRACION. - I,19/11/2018 8:41,15/02/2019 13:49,,,,DENEGADO
24,LIMA,2018,11,LM180592441,CONFORMIDAD DIREC.INMGRACION. - I,19/11/2018 8:39,15/02/2019 13:48,,,,DENEGADO
25,LIMA,2018,11,LM180585872,CONFORMIDAD DIREC.INMGRACION. - I,15/11/2018 14:34,15/02/2019 13:48,,,,DENEGADO
26,LIMA,2018,11,LM180579908,CONFORMIDAD DIREC.INMGRACION. - I,13/11/2018 16:19,28/01/2019 15:49,,,,DENEGADO
27,LIMA,2018,11,LM180578866,CONFORMIDAD DIREC.INMGRACION. - I,13/11/2018 12:16,14/01/2019 17:09,,,,DENEGADO
