ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 26/11/2024 13:28

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2019,9,AQ190040554,EVALUACIÓN - I,30/09/2019 13:37,,,,,DENEGADO
2,AREQUIPA,2019,9,AQ190040152,EVALUACIÓN - I,27/09/2019 13:38,,,,,DENEGADO
3,CHICLAYO,2019,9,CY190019946,CONFORMIDAD DIREC.INMGRACION. - I,02/09/2019 10:51,31/12/2019 12:08,,,,DENEGADO
4,CHICLAYO,2019,9,CY190019943,CONFORMIDAD DIREC.INMGRACION. - I,02/09/2019 10:44,31/12/2019 12:04,,,,DENEGADO
5,CHICLAYO,2019,9,CY190019940,CONFORMIDAD DIREC.INMGRACION. - I,02/09/2019 10:35,31/12/2019 11:45,,,,DENEGADO
6,CHICLAYO,2019,9,CY190019934,CONFORMIDAD DIREC.INMGRACION. - I,02/09/2019 10:26,18/12/2019 12:30,,,,DENEGADO
7,CHICLAYO,2019,9,CY190019931,CONFORMIDAD DIREC.INMGRACION. - I,02/09/2019 10:19,18/12/2019 12:28,,,,DENEGADO
8,CHICLAYO,2019,9,CY190019928,CONFORMIDAD DIREC.INMGRACION. - I,02/09/2019 10:07,31/12/2019 11:43,,,,DENEGADO
9,CHICLAYO,2019,8,CY190019358,CONFORMIDAD DIREC.INMGRACION. - I,23/08/2019 10:04,18/12/2019 12:23,,,,DENEGADO
10,CHICLAYO,2019,5,CY190013259,CONFORMIDAD DIREC.INMGRACION. - I,28/05/2019 16:46,31/12/2019 11:21,,,,DENEGADO
11,CHICLAYO,2019,5,CY190013258,CONFORMIDAD DIREC.INMGRACION. - I,28/05/2019 16:40,26/10/2019 12:52,,,,DENEGADO
12,CHICLAYO,2019,5,CY190013257,CONFORMIDAD DIREC.INMGRACION. - I,28/05/2019 16:34,26/10/2019 12:50,,,,DENEGADO
13,CHICLAYO,2019,5,CY190013256,CONFORMIDAD DIREC.INMGRACION. - I,28/05/2019 16:19,26/10/2019 12:48,,,,DENEGADO
