ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 06/12/2024 14:16

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2022,6,AQ220020764,EVALUACIÓN - I,21/06/2022 19:54,,,,,DESISTIDO
2,AREQUIPA,2022,6,AQ220020762,EVALUACIÓN - I,21/06/2022 19:40,,,,,DESISTIDO
3,AREQUIPA,2022,4,AQ220014837,EVALUACIÓN - I,20/04/2022 18:48,,,,,DESISTIDO
4,CHICLAYO,2022,3,CY220007706,CONFORMIDAD DIREC.INMGRACION. - I,09/03/2022 11:45,13/07/2022 16:30,,,,DESISTIDO
5,LIMA,2022,12,LM220746649,EVALUACIÓN - I,12/12/2022 8:33,,,,,DESISTIDO
6,LIMA,2022,9,LM220541490,ASOCIACION BENEFICIARIO - I,20/09/2022 13:32,,,,,DESISTIDO
7,LIMA,2022,9,LM220504738,EVALUACIÓN - I,05/09/2022 12:55,,,,,DESISTIDO
8,LIMA,2022,8,LM220470247,ASOCIACION BENEFICIARIO - I,20/08/2022 9:35,,,,,DESISTIDO
9,LIMA,2022,7,LM220412818,CONFORMIDAD DIREC.INMGRACION. - I,26/07/2022 23:59,22/05/2023 12:29,,,,DESISTIDO
10,LIMA,2022,6,LM220306070,CONFORMIDAD SUB-DIREC.INMGRA. - I,14/06/2022 16:57,,,,,DESISTIDO

