ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 26/11/2024 13:27

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,A.I.J.CH.,2022,2,AI220021204,ASOCIACION BENEFICIARIO - I,03/02/2022 10:54,,,,,NO PRESENTADA
2,CUSCO,2022,4,CS220006012,EVALUACIÓN - I,27/04/2022 10:09,,,,,NO PRESENTADA
3,CUSCO,2022,4,CS220006011,EVALUACIÓN - I,27/04/2022 10:03,,,,,NO PRESENTADA
4,CUSCO,2022,4,CS220006010,EVALUACIÓN - I,27/04/2022 9:54,,,,,NO PRESENTADA
5,CUSCO,2022,4,CS220006009,EVALUACIÓN - I,27/04/2022 9:38,,,,,NO PRESENTADA
6,PIURA,2022,10,PU220021494,ASOCIACION BENEFICIARIO - I,14/10/2022 12:34,,,,,NO PRESENTADA
7,PIURA,2022,10,PU220020445,ASOCIACION BENEFICIARIO - I,06/10/2022 9:44,,,,,NO PRESENTADA
8,PIURA,2022,10,PU220020287,ASOCIACION BENEFICIARIO - I,05/10/2022 9:24,,,,,NO PRESENTADA
9,PUCALLPA,2022,10,PC220009058,ASOCIACION BENEFICIARIO - I,26/10/2022 14:27,,,,,NO PRESENTADA
10,PUCALLPA,2022,6,PC220003602,ASOCIACION BENEFICIARIO - I,17/06/2022 11:10,,,,,NO PRESENTADA
11,PUCALLPA,2022,4,PC220002211,RECEPCIÓN DINM - F,13/04/2022 16:47,,,,,NO PRESENTADA

