ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 03/12/2024 10:24

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
1,AREQUIPA,2024,12,AQ240018886,ASOCIACION BENEFICIARIO - F,02/12/2024 13:16,,,,,PENDIENTE
2,AREQUIPA,2024,11,AQ240017548,EVALUACIÓN - I,15/11/2024 11:11,,,,,PENDIENTE
3,AREQUIPA,2024,10,AQ240014796,EVALUACIÓN - I,07/10/2024 14:37,,,,,PENDIENTE
4,AREQUIPA,2024,9,AQ240013391,EVALUACIÓN - I,11/09/2024 20:58,,,,,PENDIENTE
5,CHICLAYO,2024,11,CY240029838,EVALUACIÓN - I,12/11/2024 9:02,,,,,PENDIENTE
6,CHICLAYO,2024,11,CY240029637,EVALUACIÓN - I,08/11/2024 22:51,,,,,PENDIENTE
7,CHICLAYO,2024,11,CY240029030,EVALUACIÓN - I,02/11/2024 21:37,,,,,PENDIENTE
8,CHIMBOTE,2024,11,CM240023594,ASOCIACION BENEFICIARIO - F,21/11/2024 1:05,,,,,PENDIENTE
9,CHIMBOTE,2024,9,CM240020118,EVALUACIÓN - I,28/09/2024 13:17,,,,,PENDIENTE
10,CUSCO,2024,11,CS240025824,EVALUACIÓN - I,27/11/2024 14:11,,,,,PENDIENTE
11,CUSCO,2024,11,CS240025819,EVALUACIÓN - I,27/11/2024 13:16,,,,,PENDIENTE
12,CUSCO,2024,10,CS240023339,EVALUACIÓN - I,23/10/2024 15:18,,,,,PENDIENTE
13,CUSCO,2024,10,CS240022268,EVALUACIÓN - I,05/10/2024 22:07,,13/11/2024 8:25,"Quispe Jimenez, Luis Miguel",NO PRESENTADO,PENDIENTE
14,CUSCO,2024,8,CS240018732,EVALUACIÓN - I,08/08/2024 19:39,,13/11/2024 10:21,"Quispe Jimenez, Luis Miguel",NO PRESENTADO,PENDIENTE
15,CUSCO,2024,4,CS240012075,CONFORMIDAD SUB-DIREC.INMGRA. - I,26/04/2024 18:11,,20/05/2024 17:30,"Quispe Toccas, Zaida Janet",APROBADO,PENDIENTE
16,CUSCO,2024,4,CS240012072,CONFORMIDAD SUB-DIREC.INMGRA. - I,26/04/2024 17:44,,20/05/2024 13:20,"Quispe Toccas, Zaida Janet",APROBADO,PENDIENTE
17,HUANCAYO,2024,11,HA240020501,ASOCIACION BENEFICIARIO - F,29/11/2024 22:33,,,,,PENDIENTE
18,HUANCAYO,2024,11,HA240020283,ASOCIACION BENEFICIARIO - F,26/11/2024 16:43,,,,,PENDIENTE
19,HUANCAYO,2024,11,HA240020112,ASOCIACION BENEFICIARIO - F,22/11/2024 16:02,,,,,PENDIENTE
20,HUANCAYO,2024,5,HA240011007,EVALUACIÓN - I,15/05/2024 13:10,,,,,PENDIENTE
